Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Country,Region,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,Other access use constraints,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon
Biogenic habitat,Global Distribution of Cold-water Corals,5.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-001,1,http://data.unep-wcmc.org/datasets/3,http://wcmc.io/cold-coral,Global,Global,UNEP-WCMC General Data Licence,None,1,1,1,1,1
Ecological status and impact,Legacy dataset - Global Coral Disease Database (2010),1.0,UN Environment World Conservation Monitoring Centre,WCMC-004,0,Contact marine@unep-wcmc.org,,Global,Global,UNEP-WCMC General Data Licence,None,0,0,1,1,1
Administration,"Global Distribution of Islands ""IBPoW"" (2010)",1.0,UN Environment World Conservation Monitoring Centre,WCMC-005,1,See metadata,,Global,Global,UNEP-WCMC General Data Licence,Interested users should contact marine@unep-wcmc.org.,1,0,0,0,0
Species habitat,Global Distribution of Sea Turtle Feeding Sites (1999),1.1 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-006,1,http://data.unep-wcmc.org/datasets/21,,Global,Global,UNEP-WCMC General Data Licence,None,1,0,1,1,0
Species habitat,Global Distribution of Sea Turtle Nesting Sites (1999),1.1 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-007,1,http://data.unep-wcmc.org/datasets/22,http://wcmc.io/turtle-nesting-site,Global,Global,UNEP-WCMC General Data Licence,None,1,0,1,1,0
Biogenic habitat,Global Distribution of Coral Reefs,3.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-008,1,http://data.unep-wcmc.org/datasets/1,http://wcmc.io/warm_coral_reef,Global,Global,UNEP-WCMC General Data Licence,"For display and use of data below global scale, please cite individual data sources (listed in ""Metadata_CoralReefs.dbf"").",1,1,1,1,1
Biogenic habitat,Global Distribution of Coral Reefs - 1 Km Data (2003),7.0,UN Environment World Conservation Monitoring Centre,WCMC-009,1,See metadata,http://wcmc.io/warm_coral_reef,Global,Global,UNEP-WCMC General Data Licence,None,1,0,0,1,1
Biogenic habitat,Global Distribution of Mangroves USGS (2011),1.3 (June 2015),UN Environment World Conservation Monitoring Centre,WCMC-010,1,http://data.unep-wcmc.org/datasets/4,http://wcmc.io/mangroves,Global,Global,UNEP-WCMC General Data Licence,None,1,1,1,1,1
Biogenic habitat,World Atlas of Mangroves,3.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-011,1,http://data.unep-wcmc.org/datasets/5,http://wcmc.io/mangroves,Global,Global,UNEP-WCMC General Data Licence,"Please also refer to the license file (""WCMC-011-AtlasMangrove2010-License.pdf"") distributed with the dataset.

Please send any modification and revision of the dataset to the ISME Secretariat (Faculty of Agriculture, University of the Ryukyus, Senbaru 1, Nishihara, Okinawa 903-0129 Japan; isme@mangrove.or.jp).


For commercial use of the dataset, please contact business-support@unep-wcmc.org and isme@mangrove.or.jp.",1,1,1,1,1
Biogenic habitat,World Mangrove Atlas (1997),1.0,UN Environment World Conservation Monitoring Centre,WCMC-012,1,http://data.unep-wcmc.org/datasets/6,http://wcmc.io/mangroves,Global,Global,UNEP-WCMC General Data Licence,None,0,0,0,1,1
Biogenic habitat,Global Distribution of Seagrasses,6.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-013-014,1,http://data.unep-wcmc.org/datasets/7,http://wcmc.io/seagrass,Global,Global,UNEP-WCMC General Data Licence,"In relation to the data provided by the Mediseh project (Bellusci et al. 2013; Telesca et al. 2015) for the Mediterranean basin, users must comply with article 11.10.3 of the Framework Contract with the European Commission, i.e. any re-distribution of these data:
1) requires prior written authorisation from the Commission (Directorate-General for Maritime Affairs and Fisheries, Brussels, Belgium),
2) shall mention the amount paid by the European Union (EUR 568,996).",1,1,1,1,1
