Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Country,Region,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,License URL,Open Access,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon,Metadata link,Language,ABNJ_rel,ABNJ project
Environment descriptor,AquaMaps Environmental Dataset,,"Aquamaps, a joint project of FishBase and SealifeBase",AquaMaps-003,FALSE,http://www.aquamaps.org/download/main.php,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-NC 3.0 or 4.0,https://www.aquamaps.org/main/TermsConditions.php,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,English,TRUE,
Biodiversity-related data portal,PANGAEA,Updated regularly,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research",AWI-001,TRUE,https://www.pangaea.de/?t=Oceans,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.pangaeadata.com/PangaeaLicense.pdf,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=291,English,TRUE,
Ecological status and impact,LITTERBASE Online Portal for Marine Litter,1,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research",AWI-002,TRUE,https://litterbase.awi.de/litter,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=263,English,TRUE,
Biogenic habitat,Global Habitat Suitability for Framework-Forming Cold-Water Corals (2011),1,"School of Ocean Sciences, University of Bangor",Bangor-001,TRUE,http://doi.pangaea.de/10.1594/PANGAEA.775081,http://wcmc.io/cold-coral,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://doi.pangaea.de/10.1594/PANGAEA.775081,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=31,English,TRUE,
Protected areas and areas of biodiversity importance,Global Distribution of Key Biodiversity Areas,2016,Birdlife International,Birdlife-001,TRUE,http://www.keybiodiversityareas.org/site/mapsearch,http://wcmc.io/KBA,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.keybiodiversityareas.org/info/dataterms,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=151,English,TRUE,
Species distribution,Seabird Tracking Database,,Birdlife International,BirdLife-002,FALSE,http://www.seabirdtracking.org/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://seabirdtracking.org/termsofuse,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,English,TRUE,
Protected areas and areas of biodiversity importance,Global Distribution of Ecologically or Biologically Significant Marine Areas (EBSAs),1,Secretariat of the Convention on Biological Diversity,CBD-001,TRUE,https://www.cbd.int/ebsa/,http://wcmc.io/EBSA,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://www.cbd.int/terms/,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=161,English,TRUE,
Biogenic habitat,Marine Forests,1.0 (2018),Centre of Marine Sciences,CCMAR-001,TRUE,https://www.marineforests.com/,http://wcmc.io/seagrass,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://www.marineforests.com/,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=7,English,TRUE,
Biogeographic classification,Global Distribution of Cold Seeps (2010),3,"University of Southampton, National Oceanography Centre",ChEssBase-001,TRUE,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/cold-seep,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://obis.org/dataset/471a8de8-80f8-43f9-9443-88a45712feba,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=201,English,TRUE,
Biogeographic classification,Global Distribution of Hydrothermal Vents (2010),3,"University of Southampton, National Oceanography Centre",ChEssBase-002,TRUE,https://obis.org/dataset/471a8de8-80f8-43f9-9443-88a45712feba,http://wcmc.io/hydrothermal-vents,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://obis.org/dataset/471a8de8-80f8-43f9-9443-88a45712feba,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=195,English,TRUE,
Biogenic habitat,Global Wetlands Map,2.0 (2017),Centre for International Forestry Research,CIFOR-001,TRUE,https://www.cifor.org/global-wetlands/,,Global,Global,CC BY 3.0 or 4.0,https://data.cifor.org/dataset.xhtml?persistentId=doi:10.17528/CIFOR/DATA.00058,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=10,English,FALSE,
Taxonomic database,Catalogue Of Life (CoL),,"Species 2000 Secretariat, Naturalis Biodiversity Center",CoL-001,TRUE,http://www.catalogueoflife.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.catalogueoflife.org/col/info/copyright,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=308,English,TRUE,
Biodiversity-related data portal,Copernicus - Marine Environment Monitoring Service,,Mercator Ocean,Copernicus-001,FALSE,http://marine.copernicus.eu/services-portfolio/access-to-products/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://marine.copernicus.eu/services-portfolio/service-commitments-and-licence/,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,English,TRUE,
Species distribution,Migratory Connectivity in the Ocean (MiCo),N/A,"Marine Geospatial Ecology Lab, Duke University",Duke-001,TRUE,https://mico.eco/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://mico.eco/terms/,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=76,English,TRUE,
